Rptat2 ,/R31/PLUS (A),input noise; V / sqrt(Hz) (V / sqrt(Hz)),input noise; V / sqrt(Hz) (V / sqrt(Hz)),input noise; V / sqrt(Hz) (V / sqrt(Hz)),input noise; V / sqrt(Hz) (V / sqrt(Hz))
1.02329E3,173.715E-6,1.96806E-9,1.68374E-9,1.65907E-9,1.65710E-9
1.00000E3,177.678E-6,1.96655E-9,1.66699E-9,1.64085E-9,1.63876E-9
977.237,181.731E-6,1.96606E-9,1.65054E-9,1.62285E-9,1.62063E-9
954.993,185.878E-6,1.96661E-9,1.63438E-9,1.60505E-9,1.60270E-9
933.254,190.120E-6,1.96823E-9,1.61854E-9,1.58746E-9,1.58497E-9
912.011,194.460E-6,1.97094E-9,1.60300E-9,1.57008E-9,1.56744E-9
891.251,198.899E-6,1.97477E-9,1.58778E-9,1.55291E-9,1.55010E-9
870.964,203.441E-6,1.97974E-9,1.57287E-9,1.53594E-9,1.53297E-9
851.138,208.088E-6,1.98589E-9,1.55829E-9,1.51917E-9,1.51602E-9
831.764,212.841E-6,1.99323E-9,1.54403E-9,1.50260E-9,1.49926E-9
812.831,217.704E-6,2.00180E-9,1.53011E-9,1.48624E-9,1.48270E-9
794.328,222.679E-6,2.01162E-9,1.51653E-9,1.47007E-9,1.46632E-9
776.247,227.768E-6,2.02271E-9,1.50329E-9,1.45410E-9,1.45012E-9
758.578,232.975E-6,2.03511E-9,1.49041E-9,1.43833E-9,1.43411E-9
741.310,238.302E-6,2.04882E-9,1.47789E-9,1.42275E-9,1.41828E-9
724.436,243.752E-6,2.06389E-9,1.46574E-9,1.40737E-9,1.40263E-9
707.946,249.327E-6,2.08032E-9,1.45396E-9,1.39218E-9,1.38715E-9
691.831,255.031E-6,2.09816E-9,1.44257E-9,1.37718E-9,1.37185E-9
676.083,260.867E-6,2.11741E-9,1.43158E-9,1.36238E-9,1.35673E-9
660.693,266.837E-6,2.13810E-9,1.42098E-9,1.34776E-9,1.34177E-9
645.654,272.946E-6,2.16025E-9,1.41081E-9,1.33334E-9,1.32699E-9
630.957,279.195E-6,2.18389E-9,1.40106E-9,1.31910E-9,1.31238E-9
616.595,285.589E-6,2.20903E-9,1.39174E-9,1.30506E-9,1.29793E-9
602.560,292.131E-6,2.23570E-9,1.38288E-9,1.29121E-9,1.28364E-9
588.844,298.823E-6,2.26392E-9,1.37447E-9,1.27754E-9,1.26952E-9
575.440,305.671E-6,2.29370E-9,1.36654E-9,1.26407E-9,1.25557E-9
562.341,312.677E-6,2.32508E-9,1.35909E-9,1.25078E-9,1.24177E-9
549.541,319.845E-6,2.35806E-9,1.35215E-9,1.23768E-9,1.22813E-9
537.032,327.178E-6,2.39267E-9,1.34572E-9,1.22478E-9,1.21465E-9
524.807,334.682E-6,2.42893E-9,1.33982E-9,1.21206E-9,1.20133E-9
512.861,342.359E-6,2.46686E-9,1.33447E-9,1.19953E-9,1.18816E-9
501.187,350.214E-6,2.50648E-9,1.32967E-9,1.18720E-9,1.17514E-9
489.779,358.251E-6,2.54781E-9,1.32546E-9,1.17506E-9,1.16228E-9
478.630,366.474E-6,2.59087E-9,1.32183E-9,1.16311E-9,1.14956E-9
467.735,374.888E-6,2.63570E-9,1.31882E-9,1.15136E-9,1.13700E-9
457.088,383.497E-6,2.68230E-9,1.31643E-9,1.13980E-9,1.12458E-9
446.684,392.305E-6,2.73070E-9,1.31468E-9,1.12844E-9,1.11231E-9
436.516,401.318E-6,2.78092E-9,1.31360E-9,1.11728E-9,1.10018E-9
426.580,410.540E-6,2.83300E-9,1.31319E-9,1.10632E-9,1.08820E-9
416.869,419.975E-6,2.88695E-9,1.31349E-9,1.09556E-9,1.07636E-9
407.380,429.630E-6,2.94280E-9,1.31449E-9,1.08501E-9,1.06466E-9
398.107,439.509E-6,3.00058E-9,1.31623E-9,1.07467E-9,1.05311E-9
