f,noise
2.05589,2.8458690639757516e-09
2.06063,2.843041053436993e-09
2.06538,2.8402172928507014e-09
2.07014,2.8373977872013238e-09
2.07491,2.8345825413401783e-09
2.0797,2.8317656898989306e-09
2.08449,2.8289589987915013e-09
2.0893,2.8261507533373822e-09
2.09411,2.823352634505306e-09
2.09894,2.8205530117313164e-09
2.10378,2.8177577166801964e-09
2.10863,2.8149667530696594e-09
2.11349,2.8121801244944203e-09
2.11836,2.8093978344273187e-09
2.12324,2.8066198862204332e-09
2.12814,2.803840621371164e-09
2.13304,2.8010713868740864e-09
2.13796,2.79830088255335e-09
2.14289,2.795534772792793e-09
2.14783,2.792773060126886e-09
2.15278,2.790015746976837e-09
2.15774,2.7872628356516616e-09
2.16272,2.784508808159071e-09
2.1677,2.7817647268814955e-09
2.1727,2.779019573219527e-09
2.17771,2.776278869006504e-09
2.18273,2.7735426157796104e-09
2.18776,2.7708108149710734e-09
2.1928,2.768083467909187e-09
2.19786,2.765355193713509e-09
2.20293,2.7626314145013137e-09
2.208,2.7599174743251965e-09
2.21309,2.757202668061738e-09
2.2182,2.75448705425172e-09
2.22331,2.7517812619688383e-09
2.22844,2.7490747012688162e-09
2.23357,2.7463779243030134e-09
2.23872,2.743680417374177e-09
2.24388,2.740987446798632e-09
2.24905,2.7382990123905076e-09
2.25424,2.7356099419907313e-09
2.25944,2.732925444523955e-09
2.26464,2.7302506538307247e-09
2.26986,2.7275752815501868e-09
2.2751,2.7248993825639175e-09
2.28034,2.722233169242891e-09
2.2856,2.719566464024667e-09
2.29087,2.716904363031981e-09
2.29615,2.7142468648715804e-09
2.30144,2.711593968070166e-09
2.30675,2.7089406833493557e-09
2.31206,2.706297002564089e-09
2.31739,2.7036529664798556e-09
2.32274,2.701008627088314e-09
2.32809,2.6983738676444338e-09
2.33346,2.6957388362749586e-09
2.33884,2.693108464285333e-09
2.34423,2.6904827491732566e-09
2.34963,2.6878616883660364e-09
2.35505,2.685240451750551e-09
2.36048,2.682623899049617e-09
2.36592,2.6800120272752822e-09
2.37137,2.677404833373435e-09
2.37684,2.6747975563577966e-09
2.38232,2.672194985381858e-09
2.38781,2.6695971169908356e-09
2.39332,2.666999241378295e-09
2.39883,2.6644107845897023e-09
2.40436,2.6618223473454874e-09
2.40991,2.659233976762105e-09
2.41546,2.656654996288222e-09
2.42103,2.6540761081295794e-09
2.42661,2.6515019632777183e-09
2.4322,2.648932557399393e-09
2.43781,2.6463633146582494e-09
2.44343,2.643798835215165e-09
2.44906,2.641239114375443e-09
2.45471,2.6386796255450017e-09
2.46037,2.6361249185849688e-09
2.46604,2.6335749884499166e-09
2.47172,2.6310298300465397e-09
2.47742,2.6284849816897102e-09
2.48313,2.6259449270712462e-09
2.48886,2.623405236540461e-09
2.49459,2.62087476911166e-09
2.50035,2.6183402946409863e-09
2.50611,2.6158150317992375e-09
2.51189,2.613290206367248e-09
2.51768,2.6107702044410878e-09
2.52348,2.6082550199464367e-09
2.5293,2.605740333852712e-09
2.53513,2.6032304842500027e-09
2.54097,2.600725464757192e-09
2.54683,2.5982210028971915e-09
2.5527,2.595721389268396e-09
2.55859,2.593222382110658e-09
2.56448,2.590732460257366e-09
2.5704,2.5882389577460946e-09
2.57632,2.5857545266400658e-09
2.58226,2.583270766453878e-09
2.58821,2.5807918743068234e-09
2.59418,2.5783136994595383e-09
2.60016,2.5758404082670968e-09
2.60615,2.5733719932443965e-09
2.61216,2.5709043484511085e-09
2.61818,2.5684415945842553e-09
2.62422,2.5659796552574013e-09
2.63027,2.563522620944312e-09
2.63633,2.5610704836676165e-09
2.64241,2.558619211068455e-09
2.6485,2.556172848769346e-09
2.65461,2.5537273934539433e-09
2.66073,2.5512868610573087e-09
2.66686,2.548851243136968e-09
2.67301,2.5464165796399225e-09
2.67917,2.5439868424488066e-09
2.68534,2.5415620228912315e-09
2.69153,2.5391382037084085e-09
2.69774,2.536715418905136e-09
2.70396,2.5342975822742857e-09
2.71019,2.53188468473023e-09
2.71644,2.529472865297674e-09
2.7227,2.527065994807774e-09
2.72898,2.5246602401302624e-09
2.73527,2.52225944366335e-09
2.74157,2.5198635959192123e-09
2.74789,2.5174689052417543e-09
2.75423,2.515075403494222e-09
2.76058,2.5126868768264373e-09
2.76694,2.5103033153762322e-09
2.77332,2.5079209820236945e-09
2.77971,2.5055436213274003e-09
2.78612,2.503167523144168e-09
2.79254,2.500796404509289e-09
2.79898,2.498426582070297e-09
2.80543,2.4960617455343934e-09
2.8119,2.49369823815447e-09
2.81838,2.4913397225041e-09
2.82488,2.4889825682568532e-09
2.83139,2.486630411046379e-09
2.83792,2.4842796467829353e-09
2.84446,2.4819338843531875e-09
2.85102,2.4795895457207908e-09
2.85759,2.477250213217583e-09
2.86418,2.4749123346780483e-09
2.87078,2.472579466070549e-09
2.8774,2.470248080918563e-09
2.88403,2.4679217090175173e-09
2.89068,2.46559684939879e-09
2.89734,2.4632770058745855e-09
2.90402,2.4609587028038475e-09
2.91072,2.4586419667138877e-09
2.91743,2.456330262717794e-09
2.92415,2.4540235790564603e-09
2.93089,2.451718490224854e-09
2.93765,2.449415021932777e-09
2.94442,2.4471165884372e-09
2.95121,2.444819801303562e-09
2.95801,2.4425280496312078e-09
2.96483,2.440237969529488e-09
2.97167,2.4379495856601914e-09
2.97852,2.4356662496571198e-09
2.98538,2.4333879491142407e-09
2.99226,2.4311113687182766e-09
2.99916,2.4288365323582e-09
3.00608,2.426563463679058e-09
3.01301,2.4242954528174605e-09
3.01995,2.4220324870063323e-09
3.02691,2.4197713106350725e-09
3.03389,2.4175119466003494e-09
3.04089,2.4152544175612947e-09
3.04789,2.4130051605845206e-09
3.05492,2.4107545405753766e-09
3.06196,2.408508982579091e-09
3.06902,2.406265301200195e-09
3.0761,2.4040235181423088e-09
3.08319,2.401786803827112e-09
3.0903,2.3995520074273853e-09
3.09742,2.3973222759582652e-09
3.10456,2.3950944814746686e-09
3.11172,2.392868644754621e-09
3.11889,2.3906478779631925e-09
3.12608,2.388429087113223e-09
3.13329,2.386212292420559e-09
3.14051,2.3840005715736957e-09
3.14775,2.3817908641899866e-09
3.155,2.379586225225088e-09
3.16228,2.3773805923882837e-09
3.16957,2.375180044423931e-09
3.17687,2.3729845671370043e-09
3.1842,2.3707881644559028e-09
3.19154,2.368596848073279e-09
3.1989,2.366407634609335e-09
3.20627,2.36422350054131e-09
3.21366,2.362041484199804e-09
3.22107,2.3598616036578277e-09
3.22849,2.3576868023872004e-09
3.23594,2.3555112360770914e-09
3.2434,2.3533407627135463e-09
3.25087,2.351175367506298e-09
3.25837,2.349009270062377e-09
3.26588,2.3468482636817173e-09
3.27341,2.3446894717773018e-09
3.28095,2.342535762135165e-09
3.28852,2.3403814384938004e-09
3.2961,2.3382322089492695e-09
3.3037,2.3360852385698753e-09
3.31131,2.333943352729986e-09
3.31894,2.3318037371651684e-09
3.3266,2.329663618846971e-09
3.33426,2.327531379525408e-09
3.34195,2.3253986683117417e-09
3.34965,2.3232710471463674e-09
3.35738,2.3211430047289083e-09
3.36512,2.319020061848081e-09
3.37287,2.3169022028352004e-09
3.38065,2.3147839767868902e-09
3.38844,2.312670843425649e-09
3.39625,2.3105600893245542e-09
3.40408,2.3084517285599396e-09
3.41193,2.306345775030718e-09
3.41979,2.304244910381476e-09
3.42768,2.3021438024714404e-09
3.43558,2.3000477907518985e-09
3.4435,2.2979542206001494e-09
3.45144,2.2958631051436284e-09
3.45939,2.293777076428868e-09
3.46737,2.2916908993952646e-09
3.47536,2.2896098152501572e-09
3.48337,2.287531217452919e-09
3.4914,2.2854551183864075e-09
3.49945,2.2833815302683184e-09
3.50752,2.281310465152308e-09
3.5156,2.2792444871063647e-09
3.52371,2.2771784940753463e-09
3.53183,2.2751175926284095e-09
3.53997,2.2730592420932946e-09
3.54813,2.2710034538163557e-09
3.55631,2.2689502389864042e-09
3.56451,2.266899608635809e-09
3.57273,2.2648515736415918e-09
3.58096,2.2628086224561317e-09
3.58922,2.2607658010273465e-09
3.59749,2.2587280661439855e-09
3.60579,2.256690500078604e-09
3.6141,2.2546580228176336e-09
3.62243,2.252628184975979e-09
3.63078,2.250600996467994e-09
3.63915,2.2485764670611434e-09
3.64754,2.2465546063770634e-09
3.65595,2.244535423892625e-09
3.66438,2.2425189289409927e-09
3.67282,2.240507509496659e-09
3.68129,2.23849640823416e-09
3.68978,2.2364880216832826e-09
3.69828,2.2344847110808976e-09
3.70681,2.232481771407653e-09
3.71535,2.2304839074509703e-09
3.72392,2.2284864487512506e-09
3.7325,2.22649406511336e-09
3.74111,2.224502120395267e-09
3.74973,2.222515249669214e-09
3.75837,2.2205311430286814e-09
3.76704,2.2185475245845473e-09
3.77572,2.216568977786406e-09
3.78443,2.214590951222713e-09
