Ic,Noise_1Hz,Noise_1kHz
1.30943e-05,6.1703694168857295e-09,5.875555873075228e-09
1.33932e-05,6.108972234884492e-09,5.809655241522234e-09
1.3699e-05,6.048363952103936e-09,5.744478376461587e-09
1.40116e-05,5.988586615541473e-09,5.680070403513227e-09
1.43314e-05,5.929585525406112e-09,5.616372311034902e-09
1.46584e-05,5.871383038367966e-09,5.553408116485028e-09
1.49928e-05,5.813964391658203e-09,5.491161814191812e-09
1.53349e-05,5.757300185227698e-09,5.4296014068177764e-09
1.56847e-05,5.701411858880655e-09,5.3687500940000766e-09
1.60424e-05,5.646287311286714e-09,5.308594703273172e-09
1.64082e-05,5.591915712069597e-09,5.249123401040072e-09
1.67824e-05,5.538273283129737e-09,5.190310097134251e-09
1.7165e-05,5.485379983116855e-09,5.132176643480536e-09
1.75563e-05,5.433213398507011e-09,5.074698432993523e-09
1.79564e-05,5.381779110184362e-09,5.017881644091915e-09
1.83657e-05,5.331045050153268e-09,4.961690839278845e-09
1.87842e-05,5.281030258216227e-09,4.90614710771911e-09
1.92121e-05,5.231728182265424e-09,4.851243304876073e-09
1.96498e-05,5.183110969421655e-09,4.796948462925893e-09
2.00974e-05,5.1351858878199e-09,4.7432707269987865e-09
2.05552e-05,5.087938629650379e-09,4.690194141155484e-09
2.10233e-05,5.041376120544716e-09,4.63772659772999e-09
2.1502e-05,4.9954851553092e-09,4.585853378400994e-09
2.19915e-05,4.950263106679113e-09,4.534571675856512e-09
2.24922e-05,4.9056898991863874e-09,4.483858846423837e-09
2.30042e-05,4.8617732646838344e-09,4.433723824599152e-09
2.35277e-05,4.818511427250488e-09,4.3841648432184766e-09
2.40631e-05,4.775886865081193e-09,4.335162066850226e-09
2.46107e-05,4.733891744425643e-09,4.286706661791148e-09
2.51706e-05,4.692533568812326e-09,4.238807548211508e-09
2.57432e-05,4.651797491450652e-09,4.1914478409913924e-09
2.63288e-05,4.611677176804381e-09,4.144620440076595e-09
2.69276e-05,4.572173371696015e-09,4.09832654251482e-09
2.754e-05,4.53327392171844e-09,4.052552249482783e-09
2.81663e-05,4.4949741067428305e-09,4.007292330185833e-09
2.88067e-05,4.457275367503784e-09,3.9625488898869525e-09
2.94616e-05,4.420167484228091e-09,3.918310240800947e-09
3.01313e-05,4.3836467372603015e-09,3.874572388950038e-09
3.08162e-05,4.3477044763785e-09,3.831325423421763e-09
3.15166e-05,4.312337955747831e-09,3.788566504388692e-09
3.22329e-05,4.277539755102504e-09,3.746287148719265e-09
3.29654e-05,4.2433078198910724e-09,3.7044853786615084e-09
3.37144e-05,4.209640083446216e-09,3.6631592696075916e-09
3.44804e-05,4.176525963730135e-09,3.6222964321581943e-09
3.52637e-05,4.143964277488135e-09,3.5818960135109135e-09
3.60648e-05,4.1119458581135185e-09,3.541947265862196e-09
3.6884e-05,4.080470130088312e-09,3.5024501209559703e-09
3.77218e-05,4.0495290452046994e-09,3.463395163306884e-09
3.85785e-05,4.0191224088214325e-09,3.4247828702046056e-09
3.94546e-05,3.9892430426745074e-09,3.3866048972027777e-09
4.03506e-05,3.959884525482286e-09,3.348853784034434e-09
4.12669e-05,3.931044188444849e-09,3.311526867170625e-09
4.22039e-05,3.902719459493768e-09,3.2746216574468594e-09
4.31621e-05,3.87490498765227e-09,3.2381320606848567e-09
4.41421e-05,3.847593184231115e-09,3.2020489667687024e-09
4.51442e-05,3.8207851899129346e-09,3.1663747823211253e-09
4.61691e-05,3.794471583952409e-09,3.1310978958509276e-09
4.72172e-05,3.7686513391294615e-09,3.096217847402442e-09
4.82891e-05,3.743318649885552e-09,3.061727753512964e-09
4.93852e-05,3.7184727525752832e-09,3.0276275806507175e-09
5.05062e-05,3.694106295671339e-09,2.9939082638118184e-09
5.16527e-05,3.6702148214291285e-09,2.960564610057617e-09
5.28251e-05,3.646798201110918e-09,2.9275974882595846e-09
5.40242e-05,3.6238485192255162e-09,2.894996810311775e-09
5.52504e-05,3.6013660155826343e-09,2.862763984748298e-09
5.65045e-05,3.5793437113289996e-09,2.8308900975817598e-09
5.7787e-05,3.557780404016846e-09,2.7993744918999875e-09
5.90987e-05,3.5366700688003003e-09,2.7682094489288715e-09
6.04401e-05,3.5160119098717975e-09,2.737394889306788e-09
6.1812e-05,3.495800651838105e-09,2.706924058165939e-09
6.32151e-05,3.4760329964437166e-09,2.6767930502899536e-09
6.465e-05,3.4567072488922526e-09,2.647000382793645e-09
6.61176e-05,3.4378179516267063e-09,2.617538712803033e-09
6.76185e-05,3.4193639260934596e-09,2.5884072484324312e-09
6.91536e-05,3.4013404987350675e-09,2.559599644063612e-09
7.07235e-05,3.383746847478088e-09,2.5311156075515387e-09
7.23292e-05,3.3665778705661187e-09,2.502947864747835e-09
7.39714e-05,3.349832126088282e-09,2.4750949683532972e-09
7.5651e-05,3.3335063128950928e-09,2.447552322838379e-09
7.73688e-05,3.317598418565134e-09,2.42031737399535e-09
7.91257e-05,3.3021057365241258e-09,2.3933862807954695e-09
8.09226e-05,3.287025869168572e-09,2.3667555891571495e-09
8.27605e-05,3.272355912787342e-09,2.3404207760944095e-09
8.46402e-05,3.2580948370997608e-09,2.3143805270359055e-09
8.65628e-05,3.2442395576962913e-09,2.288629644175611e-09
8.85289e-05,3.230790793876954e-09,2.263169867955461e-09
9.05401e-05,3.2177426799305053e-09,2.2379902935964613e-09
9.25972e-05,3.2050952210388717e-09,2.2130908504457963e-09
