freq (Hz),input noise; V / sqrt(Hz) Rptat2 175.5376  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Rptat2 219.2198  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Rptat2 438.4395  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Rptat2 1753.758  (V / sqrt(Hz))
1.04713E3,732.324E-12,804.096E-12,1.10638E-9,2.15542E-9
1.07152E3,731.896E-12,803.828E-12,1.10630E-9,2.15540E-9
1.09648E3,731.477E-12,803.566E-12,1.10622E-9,2.15538E-9
1.12202E3,731.069E-12,803.310E-12,1.10614E-9,2.15536E-9
1.14815E3,730.671E-12,803.061E-12,1.10607E-9,2.15534E-9
1.17490E3,730.283E-12,802.818E-12,1.10600E-9,2.15532E-9
1.20226E3,729.904E-12,802.581E-12,1.10593E-9,2.15531E-9
1.23027E3,729.535E-12,802.349E-12,1.10586E-9,2.15529E-9
1.25893E3,729.174E-12,802.124E-12,1.10579E-9,2.15527E-9
1.28825E3,728.823E-12,801.904E-12,1.10573E-9,2.15525E-9
1.31826E3,728.480E-12,801.689E-12,1.10567E-9,2.15524E-9
1.34896E3,728.145E-12,801.480E-12,1.10560E-9,2.15522E-9
1.38038E3,727.819E-12,801.276E-12,1.10554E-9,2.15520E-9
1.41254E3,727.500E-12,801.077E-12,1.10549E-9,2.15519E-9
1.44544E3,727.190E-12,800.883E-12,1.10543E-9,2.15517E-9
1.47911E3,726.887E-12,800.694E-12,1.10537E-9,2.15516E-9
1.51356E3,726.592E-12,800.509E-12,1.10532E-9,2.15514E-9
1.54882E3,726.303E-12,800.329E-12,1.10527E-9,2.15513E-9
1.58489E3,726.022E-12,800.154E-12,1.10521E-9,2.15512E-9
1.62181E3,725.748E-12,799.983E-12,1.10516E-9,2.15510E-9
1.65959E3,725.481E-12,799.816E-12,1.10512E-9,2.15509E-9
1.69824E3,725.220E-12,799.653E-12,1.10507E-9,2.15508E-9
1.73780E3,724.966E-12,799.494E-12,1.10502E-9,2.15507E-9
1.77828E3,724.718E-12,799.340E-12,1.10498E-9,2.15505E-9
1.81970E3,724.476E-12,799.189E-12,1.10493E-9,2.15504E-9
1.86209E3,724.240E-12,799.042E-12,1.10489E-9,2.15503E-9
1.90546E3,724.010E-12,798.898E-12,1.10485E-9,2.15502E-9
1.94984E3,723.785E-12,798.758E-12,1.10480E-9,2.15501E-9
1.99526E3,723.566E-12,798.622E-12,1.10476E-9,2.15500E-9
2.04174E3,723.353E-12,798.488E-12,1.10473E-9,2.15499E-9
2.08930E3,723.145E-12,798.359E-12,1.10469E-9,2.15498E-9
