Ic,Noise_1Hz,Noise_1kHz
5.7787e-05,2.851584941665524e-09,2.7985569834380675e-09
5.90987e-05,2.8227900001307656e-09,2.7673800633212417e-09
6.04401e-05,2.794450672106794e-09,2.736553483335017e-09
6.1812e-05,2.766564923609421e-09,2.7060704869029666e-09
6.32151e-05,2.739133539810139e-09,2.6759271681983943e-09
6.465e-05,2.7121596793633386e-09,2.6461220447749174e-09
6.61176e-05,2.685641382917425e-09,2.6166477717809412e-09
6.76185e-05,2.6595828062819492e-09,2.587503558142589e-09
6.91536e-05,2.6339833199439266e-09,2.5586830566873663e-09
7.07235e-05,2.6088478879693358e-09,2.5301859764436766e-09
7.23292e-05,2.584175506388461e-09,2.502005041303113e-09
7.39714e-05,2.559970529510615e-09,2.4741388047089266e-09
7.5651e-05,2.5362347717725364e-09,2.4465826704416153e-09
7.73688e-05,2.5129720408347032e-09,2.4193340846274354e-09
7.91257e-05,2.490185261198862e-09,2.3923892059852184e-09
8.09226e-05,2.4678779261469344e-09,2.3657445804070645e-09
8.27605e-05,2.4460528870140117e-09,2.3393956843404096e-09
8.46402e-05,2.4247158935004273e-09,2.3133412044054156e-09
8.65628e-05,2.40386973696918e-09,2.287575941931832e-09
8.85289e-05,2.3835230405964737e-09,2.262101640447015e-09
9.05401e-05,2.3636745588645085e-09,2.2369073910959382e-09
9.25972e-05,2.3443319946586505e-09,2.2119931253257136e-09
9.47013e-05,2.325500485614662e-09,2.1873552471280156e-09
9.68533e-05,2.307187384087428e-09,2.1629927634255217e-09
9.90545e-05,2.2893970572438467e-09,2.1389004122278047e-09
0.000101306,2.2721361564427295e-09,2.1150756031916627e-09
0.000103609,2.255411026125221e-09,2.0915149921277712e-09
0.000105964,2.239233191851082e-09,2.0682223937057102e-09
0.000108374,2.2235978224612956e-09,2.0451775213495426e-09
0.000110838,2.2085269018411877e-09,2.022399011410249e-09
0.000113359,2.1940172406597427e-09,1.9998678562823447e-09
0.000115937,2.1800841976242863e-09,1.9775929065044186e-09
0.000118574,2.1667319246351776e-09,1.9555653611294863e-09
0.000121272,2.1539658424181776e-09,1.9337774662238374e-09
0.000124031,2.141801022559088e-09,1.9122377693582615e-09
