freq (Hz),input noise; V / sqrt(Hz) dR 0  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 1  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 2  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 3  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 4  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 5  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 6  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 7  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 8  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 9  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 10  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 11  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 12  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 13  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 14  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 15  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 16  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 17  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 18  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 19  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 20  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 21  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 22  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 23  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 24  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 25  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 26  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 27  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 28  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 29  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 30  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 31  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 32  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 33  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 34  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 35  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 36  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 37  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 38  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 39  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 40  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 41  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 42  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 43  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 44  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 45  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 46  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 47  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 48  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 49  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 50  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 51  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 52  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 53  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 54  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 55  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 56  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 57  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 58  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 59  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 60  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 61  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 62  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 63  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 64  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 65  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 66  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 67  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 68  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 69  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 70  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 71  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 72  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 73  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 74  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 75  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 76  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 77  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 78  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 79  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 80  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 81  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 82  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 83  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 84  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 85  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 86  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 87  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 88  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 89  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 90  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 91  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 92  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 93  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 94  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 95  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 96  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 97  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 98  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 99  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 100  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 101  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 102  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 103  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 104  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 105  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 106  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 107  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 108  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 109  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 110  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 111  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 112  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 113  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 114  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 115  (V / sqrt(Hz))
1.00000E3,1.06219E-9,1.06228E-9,1.06253E-9,1.06297E-9,1.06359E-9,1.06438E-9,1.06534E-9,1.06648E-9,1.06780E-9,1.06929E-9,1.07095E-9,1.07278E-9,1.07479E-9,1.07696E-9,1.07930E-9,1.08180E-9,1.08448E-9,1.08731E-9,1.09031E-9,1.09347E-9,1.09679E-9,1.10026E-9,1.10389E-9,1.10768E-9,1.11162E-9,1.11571E-9,1.11994E-9,1.12432E-9,1.12885E-9,1.13352E-9,1.13833E-9,1.14328E-9,1.14837E-9,1.15359E-9,1.15895E-9,1.16443E-9,1.17004E-9,1.17578E-9,1.18165E-9,1.18764E-9,1.19374E-9,1.19997E-9,1.20631E-9,1.21277E-9,1.21934E-9,1.22602E-9,1.23281E-9,1.23970E-9,1.24670E-9,1.25380E-9,1.26100E-9,1.26830E-9,1.27570E-9,1.28319E-9,1.29078E-9,1.29846E-9,1.30622E-9,1.31408E-9,1.32202E-9,1.33004E-9,1.33815E-9,1.34634E-9,1.35461E-9,1.36295E-9,1.37137E-9,1.37987E-9,1.38844E-9,1.39708E-9,1.40579E-9,1.41457E-9,1.42342E-9,1.43233E-9,1.44130E-9,1.45034E-9,1.45945E-9,1.46861E-9,1.47783E-9,1.48711E-9,1.49644E-9,1.50583E-9,1.51528E-9,1.52478E-9,1.53433E-9,1.54393E-9,1.55358E-9,1.56328E-9,1.57302E-9,1.58282E-9,1.59266E-9,1.60254E-9,1.61247E-9,1.62244E-9,1.63245E-9,1.64250E-9,1.65260E-9,1.66273E-9,1.67290E-9,1.68311E-9,1.69335E-9,1.70363E-9,1.71395E-9,1.72430E-9,1.73469E-9,1.74510E-9,1.75555E-9,1.76603E-9,1.77654E-9,1.78709E-9,1.79766E-9,1.80826E-9,1.81889E-9,1.82954E-9,1.84022E-9,1.85093E-9,1.86167E-9,1.87243E-9
1.25893E3,1.06053E-9,1.06059E-9,1.06079E-9,1.06112E-9,1.06159E-9,1.06220E-9,1.06294E-9,1.06382E-9,1.06483E-9,1.06597E-9,1.06725E-9,1.06866E-9,1.07020E-9,1.07188E-9,1.07368E-9,1.07561E-9,1.07767E-9,1.07986E-9,1.08218E-9,1.08462E-9,1.08719E-9,1.08988E-9,1.09269E-9,1.09562E-9,1.09868E-9,1.10185E-9,1.10514E-9,1.10855E-9,1.11208E-9,1.11571E-9,1.11946E-9,1.12333E-9,1.12730E-9,1.13138E-9,1.13557E-9,1.13987E-9,1.14427E-9,1.14877E-9,1.15338E-9,1.15809E-9,1.16290E-9,1.16780E-9,1.17280E-9,1.17790E-9,1.18309E-9,1.18838E-9,1.19375E-9,1.19922E-9,1.20477E-9,1.21041E-9,1.21614E-9,1.22195E-9,1.22784E-9,1.23382E-9,1.23987E-9,1.24601E-9,1.25222E-9,1.25851E-9,1.26487E-9,1.27131E-9,1.27782E-9,1.28440E-9,1.29105E-9,1.29778E-9,1.30456E-9,1.31142E-9,1.31834E-9,1.32533E-9,1.33237E-9,1.33948E-9,1.34665E-9,1.35389E-9,1.36117E-9,1.36852E-9,1.37592E-9,1.38338E-9,1.39090E-9,1.39846E-9,1.40608E-9,1.41375E-9,1.42148E-9,1.42925E-9,1.43707E-9,1.44494E-9,1.45285E-9,1.46081E-9,1.46882E-9,1.47687E-9,1.48496E-9,1.49310E-9,1.50127E-9,1.50949E-9,1.51775E-9,1.52605E-9,1.53439E-9,1.54277E-9,1.55118E-9,1.55963E-9,1.56811E-9,1.57664E-9,1.58519E-9,1.59378E-9,1.60240E-9,1.61106E-9,1.61974E-9,1.62846E-9,1.63721E-9,1.64599E-9,1.65480E-9,1.66364E-9,1.67250E-9,1.68140E-9,1.69032E-9,1.69927E-9,1.70824E-9,1.71724E-9
1.58489E3,1.05922E-9,1.05926E-9,1.05941E-9,1.05967E-9,1.06003E-9,1.06049E-9,1.06106E-9,1.06173E-9,1.06251E-9,1.06339E-9,1.06437E-9,1.06545E-9,1.06664E-9,1.06793E-9,1.06932E-9,1.07080E-9,1.07239E-9,1.07408E-9,1.07587E-9,1.07775E-9,1.07973E-9,1.08181E-9,1.08398E-9,1.08625E-9,1.08861E-9,1.09107E-9,1.09362E-9,1.09627E-9,1.09900E-9,1.10182E-9,1.10474E-9,1.10774E-9,1.11083E-9,1.11401E-9,1.11728E-9,1.12063E-9,1.12407E-9,1.12759E-9,1.13119E-9,1.13487E-9,1.13864E-9,1.14248E-9,1.14641E-9,1.15041E-9,1.15449E-9,1.15864E-9,1.16288E-9,1.16718E-9,1.17156E-9,1.17601E-9,1.18054E-9,1.18513E-9,1.18980E-9,1.19453E-9,1.19933E-9,1.20420E-9,1.20913E-9,1.21413E-9,1.21920E-9,1.22432E-9,1.22951E-9,1.23476E-9,1.24007E-9,1.24545E-9,1.25088E-9,1.25636E-9,1.26191E-9,1.26751E-9,1.27317E-9,1.27888E-9,1.28464E-9,1.29046E-9,1.29633E-9,1.30225E-9,1.30823E-9,1.31425E-9,1.32032E-9,1.32644E-9,1.33260E-9,1.33882E-9,1.34508E-9,1.35138E-9,1.35773E-9,1.36412E-9,1.37056E-9,1.37703E-9,1.38355E-9,1.39011E-9,1.39671E-9,1.40335E-9,1.41003E-9,1.41675E-9,1.42350E-9,1.43030E-9,1.43712E-9,1.44399E-9,1.45089E-9,1.45782E-9,1.46479E-9,1.47179E-9,1.47883E-9,1.48589E-9,1.49299E-9,1.50012E-9,1.50728E-9,1.51448E-9,1.52170E-9,1.52895E-9,1.53623E-9,1.54353E-9,1.55087E-9,1.55823E-9,1.56562E-9,1.57303E-9,1.58047E-9,1.58794E-9
1.99526E3,1.05818E-9,1.05821E-9,1.05833E-9,1.05852E-9,1.05880E-9,1.05915E-9,1.05959E-9,1.06010E-9,1.06070E-9,1.06137E-9,1.06213E-9,1.06296E-9,1.06387E-9,1.06486E-9,1.06593E-9,1.06707E-9,1.06829E-9,1.06959E-9,1.07097E-9,1.07242E-9,1.07395E-9,1.07555E-9,1.07723E-9,1.07898E-9,1.08080E-9,1.08270E-9,1.08468E-9,1.08672E-9,1.08884E-9,1.09102E-9,1.09328E-9,1.09561E-9,1.09801E-9,1.10048E-9,1.10302E-9,1.10562E-9,1.10829E-9,1.11103E-9,1.11384E-9,1.11671E-9,1.11965E-9,1.12265E-9,1.12571E-9,1.12884E-9,1.13203E-9,1.13529E-9,1.13860E-9,1.14198E-9,1.14541E-9,1.14891E-9,1.15246E-9,1.15607E-9,1.15974E-9,1.16347E-9,1.16726E-9,1.17110E-9,1.17499E-9,1.17894E-9,1.18294E-9,1.18700E-9,1.19111E-9,1.19527E-9,1.19948E-9,1.20374E-9,1.20805E-9,1.21242E-9,1.21683E-9,1.22129E-9,1.22579E-9,1.23035E-9,1.23495E-9,1.23959E-9,1.24429E-9,1.24902E-9,1.25380E-9,1.25863E-9,1.26349E-9,1.26840E-9,1.27335E-9,1.27834E-9,1.28337E-9,1.28845E-9,1.29356E-9,1.29871E-9,1.30390E-9,1.30913E-9,1.31439E-9,1.31969E-9,1.32503E-9,1.33040E-9,1.33581E-9,1.34125E-9,1.34673E-9,1.35224E-9,1.35779E-9,1.36336E-9,1.36897E-9,1.37462E-9,1.38029E-9,1.38599E-9,1.39173E-9,1.39749E-9,1.40329E-9,1.40911E-9,1.41496E-9,1.42084E-9,1.42675E-9,1.43269E-9,1.43865E-9,1.44464E-9,1.45066E-9,1.45670E-9,1.46277E-9,1.46886E-9,1.47498E-9,1.48112E-9
2.51189E3,1.05736E-9,1.05738E-9,1.05747E-9,1.05762E-9,1.05783E-9,1.05810E-9,1.05843E-9,1.05883E-9,1.05928E-9,1.05980E-9,1.06038E-9,1.06102E-9,1.06172E-9,1.06248E-9,1.06330E-9,1.06418E-9,1.06512E-9,1.06612E-9,1.06717E-9,1.06829E-9,1.06947E-9,1.07070E-9,1.07199E-9,1.07334E-9,1.07475E-9,1.07622E-9,1.07774E-9,1.07932E-9,1.08095E-9,1.08264E-9,1.08439E-9,1.08619E-9,1.08805E-9,1.08996E-9,1.09193E-9,1.09395E-9,1.09602E-9,1.09814E-9,1.10032E-9,1.10255E-9,1.10484E-9,1.10717E-9,1.10956E-9,1.11199E-9,1.11448E-9,1.11702E-9,1.11960E-9,1.12224E-9,1.12492E-9,1.12765E-9,1.13043E-9,1.13326E-9,1.13613E-9,1.13905E-9,1.14202E-9,1.14503E-9,1.14809E-9,1.15119E-9,1.15434E-9,1.15753E-9,1.16077E-9,1.16405E-9,1.16737E-9,1.17073E-9,1.17413E-9,1.17758E-9,1.18107E-9,1.18459E-9,1.18816E-9,1.19177E-9,1.19541E-9,1.19910E-9,1.20282E-9,1.20658E-9,1.21038E-9,1.21422E-9,1.21809E-9,1.22200E-9,1.22594E-9,1.22993E-9,1.23394E-9,1.23799E-9,1.24208E-9,1.24619E-9,1.25035E-9,1.25453E-9,1.25875E-9,1.26300E-9,1.26728E-9,1.27159E-9,1.27594E-9,1.28031E-9,1.28472E-9,1.28916E-9,1.29362E-9,1.29812E-9,1.30264E-9,1.30719E-9,1.31177E-9,1.31638E-9,1.32102E-9,1.32568E-9,1.33037E-9,1.33509E-9,1.33983E-9,1.34460E-9,1.34939E-9,1.35421E-9,1.35905E-9,1.36392E-9,1.36881E-9,1.37373E-9,1.37867E-9,1.38363E-9,1.38862E-9,1.39363E-9
3.16228E3,1.05671E-9,1.05673E-9,1.05679E-9,1.05690E-9,1.05706E-9,1.05727E-9,1.05753E-9,1.05783E-9,1.05818E-9,1.05857E-9,1.05902E-9,1.05951E-9,1.06004E-9,1.06063E-9,1.06126E-9,1.06193E-9,1.06265E-9,1.06342E-9,1.06424E-9,1.06510E-9,1.06600E-9,1.06695E-9,1.06794E-9,1.06898E-9,1.07007E-9,1.07120E-9,1.07237E-9,1.07359E-9,1.07485E-9,1.07615E-9,1.07750E-9,1.07889E-9,1.08033E-9,1.08181E-9,1.08333E-9,1.08489E-9,1.08649E-9,1.08814E-9,1.08983E-9,1.09155E-9,1.09332E-9,1.09513E-9,1.09699E-9,1.09888E-9,1.10081E-9,1.10278E-9,1.10479E-9,1.10684E-9,1.10893E-9,1.11106E-9,1.11322E-9,1.11543E-9,1.11767E-9,1.11995E-9,1.12227E-9,1.12462E-9,1.12701E-9,1.12944E-9,1.13190E-9,1.13440E-9,1.13693E-9,1.13950E-9,1.14211E-9,1.14474E-9,1.14742E-9,1.15013E-9,1.15287E-9,1.15564E-9,1.15845E-9,1.16129E-9,1.16416E-9,1.16707E-9,1.17001E-9,1.17297E-9,1.17598E-9,1.17901E-9,1.18207E-9,1.18516E-9,1.18829E-9,1.19144E-9,1.19462E-9,1.19784E-9,1.20108E-9,1.20435E-9,1.20765E-9,1.21097E-9,1.21433E-9,1.21771E-9,1.22112E-9,1.22456E-9,1.22803E-9,1.23152E-9,1.23503E-9,1.23858E-9,1.24215E-9,1.24574E-9,1.24936E-9,1.25301E-9,1.25668E-9,1.26037E-9,1.26409E-9,1.26783E-9,1.27160E-9,1.27539E-9,1.27920E-9,1.28303E-9,1.28689E-9,1.29077E-9,1.29467E-9,1.29860E-9,1.30254E-9,1.30651E-9,1.31050E-9,1.31451E-9,1.31854E-9,1.32259E-9
3.98107E3,1.05620E-9,1.05621E-9,1.05626E-9,1.05634E-9,1.05646E-9,1.05662E-9,1.05682E-9,1.05705E-9,1.05732E-9,1.05762E-9,1.05796E-9,1.05833E-9,1.05875E-9,1.05919E-9,1.05968E-9,1.06019E-9,1.06075E-9,1.06134E-9,1.06196E-9,1.06262E-9,1.06332E-9,1.06405E-9,1.06481E-9,1.06561E-9,1.06645E-9,1.06732E-9,1.06822E-9,1.06916E-9,1.07013E-9,1.07114E-9,1.07217E-9,1.07325E-9,1.07435E-9,1.07549E-9,1.07667E-9,1.07787E-9,1.07911E-9,1.08039E-9,1.08169E-9,1.08303E-9,1.08440E-9,1.08580E-9,1.08723E-9,1.08870E-9,1.09019E-9,1.09172E-9,1.09328E-9,1.09487E-9,1.09649E-9,1.09815E-9,1.09983E-9,1.10154E-9,1.10328E-9,1.10506E-9,1.10686E-9,1.10869E-9,1.11055E-9,1.11245E-9,1.11437E-9,1.11631E-9,1.11829E-9,1.12030E-9,1.12233E-9,1.12439E-9,1.12648E-9,1.12860E-9,1.13075E-9,1.13292E-9,1.13512E-9,1.13735E-9,1.13960E-9,1.14188E-9,1.14418E-9,1.14652E-9,1.14887E-9,1.15126E-9,1.15367E-9,1.15610E-9,1.15856E-9,1.16104E-9,1.16355E-9,1.16609E-9,1.16864E-9,1.17123E-9,1.17383E-9,1.17646E-9,1.17911E-9,1.18179E-9,1.18449E-9,1.18721E-9,1.18996E-9,1.19272E-9,1.19551E-9,1.19832E-9,1.20116E-9,1.20401E-9,1.20689E-9,1.20979E-9,1.21271E-9,1.21565E-9,1.21861E-9,1.22159E-9,1.22459E-9,1.22762E-9,1.23066E-9,1.23372E-9,1.23680E-9,1.23991E-9,1.24303E-9,1.24617E-9,1.24932E-9,1.25250E-9,1.25570E-9,1.25891E-9,1.26215E-9,1.26540E-9
5.01187E3,1.05579E-9,1.05580E-9,1.05584E-9,1.05590E-9,1.05599E-9,1.05611E-9,1.05626E-9,1.05644E-9,1.05664E-9,1.05687E-9,1.05713E-9,1.05742E-9,1.05774E-9,1.05808E-9,1.05845E-9,1.05885E-9,1.05927E-9,1.05972E-9,1.06020E-9,1.06071E-9,1.06124E-9,1.06181E-9,1.06239E-9,1.06301E-9,1.06365E-9,1.06432E-9,1.06501E-9,1.06574E-9,1.06648E-9,1.06726E-9,1.06806E-9,1.06889E-9,1.06974E-9,1.07062E-9,1.07152E-9,1.07245E-9,1.07341E-9,1.07439E-9,1.07540E-9,1.07643E-9,1.07749E-9,1.07857E-9,1.07968E-9,1.08081E-9,1.08197E-9,1.08315E-9,1.08436E-9,1.08559E-9,1.08685E-9,1.08813E-9,1.08943E-9,1.09076E-9,1.09211E-9,1.09349E-9,1.09489E-9,1.09631E-9,1.09775E-9,1.09922E-9,1.10072E-9,1.10223E-9,1.10377E-9,1.10533E-9,1.10692E-9,1.10852E-9,1.11015E-9,1.11180E-9,1.11347E-9,1.11517E-9,1.11689E-9,1.11862E-9,1.12038E-9,1.12216E-9,1.12397E-9,1.12579E-9,1.12764E-9,1.12950E-9,1.13139E-9,1.13329E-9,1.13522E-9,1.13717E-9,1.13914E-9,1.14113E-9,1.14313E-9,1.14516E-9,1.14721E-9,1.14928E-9,1.15136E-9,1.15347E-9,1.15559E-9,1.15774E-9,1.15990E-9,1.16208E-9,1.16428E-9,1.16650E-9,1.16874E-9,1.17099E-9,1.17326E-9,1.17556E-9,1.17786E-9,1.18019E-9,1.18253E-9,1.18489E-9,1.18727E-9,1.18967E-9,1.19208E-9,1.19451E-9,1.19696E-9,1.19942E-9,1.20190E-9,1.20439E-9,1.20690E-9,1.20943E-9,1.21198E-9,1.21454E-9,1.21711E-9,1.21970E-9
6.30957E3,1.05547E-9,1.05548E-9,1.05550E-9,1.05555E-9,1.05562E-9,1.05571E-9,1.05582E-9,1.05596E-9,1.05611E-9,1.05629E-9,1.05649E-9,1.05671E-9,1.05695E-9,1.05721E-9,1.05750E-9,1.05780E-9,1.05813E-9,1.05848E-9,1.05884E-9,1.05923E-9,1.05964E-9,1.06007E-9,1.06053E-9,1.06100E-9,1.06149E-9,1.06200E-9,1.06254E-9,1.06309E-9,1.06367E-9,1.06427E-9,1.06488E-9,1.06552E-9,1.06617E-9,1.06685E-9,1.06755E-9,1.06827E-9,1.06900E-9,1.06976E-9,1.07054E-9,1.07133E-9,1.07215E-9,1.07299E-9,1.07384E-9,1.07472E-9,1.07561E-9,1.07652E-9,1.07746E-9,1.07841E-9,1.07938E-9,1.08037E-9,1.08138E-9,1.08241E-9,1.08345E-9,1.08452E-9,1.08560E-9,1.08670E-9,1.08783E-9,1.08896E-9,1.09012E-9,1.09130E-9,1.09249E-9,1.09370E-9,1.09493E-9,1.09618E-9,1.09745E-9,1.09873E-9,1.10003E-9,1.10135E-9,1.10269E-9,1.10404E-9,1.10541E-9,1.10680E-9,1.10820E-9,1.10962E-9,1.11106E-9,1.11252E-9,1.11399E-9,1.11548E-9,1.11698E-9,1.11850E-9,1.12004E-9,1.12160E-9,1.12317E-9,1.12475E-9,1.12635E-9,1.12797E-9,1.12961E-9,1.13126E-9,1.13292E-9,1.13460E-9,1.13630E-9,1.13801E-9,1.13974E-9,1.14148E-9,1.14324E-9,1.14501E-9,1.14680E-9,1.14860E-9,1.15041E-9,1.15224E-9,1.15409E-9,1.15595E-9,1.15782E-9,1.15971E-9,1.16162E-9,1.16353E-9,1.16546E-9,1.16741E-9,1.16936E-9,1.17134E-9,1.17332E-9,1.17532E-9,1.17733E-9,1.17936E-9,1.18140E-9,1.18345E-9
7.94328E3,1.05522E-9,1.05522E-9,1.05524E-9,1.05527E-9,1.05533E-9,1.05540E-9,1.05548E-9,1.05558E-9,1.05570E-9,1.05584E-9,1.05599E-9,1.05616E-9,1.05634E-9,1.05654E-9,1.05676E-9,1.05699E-9,1.05724E-9,1.05751E-9,1.05779E-9,1.05809E-9,1.05840E-9,1.05873E-9,1.05908E-9,1.05944E-9,1.05982E-9,1.06022E-9,1.06063E-9,1.06106E-9,1.06150E-9,1.06196E-9,1.06243E-9,1.06292E-9,1.06343E-9,1.06395E-9,1.06448E-9,1.06504E-9,1.06560E-9,1.06619E-9,1.06679E-9,1.06740E-9,1.06803E-9,1.06867E-9,1.06933E-9,1.07001E-9,1.07070E-9,1.07140E-9,1.07212E-9,1.07286E-9,1.07361E-9,1.07437E-9,1.07515E-9,1.07595E-9,1.07676E-9,1.07758E-9,1.07842E-9,1.07927E-9,1.08014E-9,1.08102E-9,1.08192E-9,1.08283E-9,1.08376E-9,1.08469E-9,1.08565E-9,1.08662E-9,1.08760E-9,1.08859E-9,1.08960E-9,1.09063E-9,1.09166E-9,1.09271E-9,1.09378E-9,1.09486E-9,1.09595E-9,1.09705E-9,1.09817E-9,1.09930E-9,1.10045E-9,1.10161E-9,1.10278E-9,1.10397E-9,1.10516E-9,1.10638E-9,1.10760E-9,1.10884E-9,1.11009E-9,1.11135E-9,1.11262E-9,1.11391E-9,1.11521E-9,1.11653E-9,1.11785E-9,1.11919E-9,1.12054E-9,1.12190E-9,1.12328E-9,1.12467E-9,1.12607E-9,1.12748E-9,1.12890E-9,1.13034E-9,1.13178E-9,1.13324E-9,1.13471E-9,1.13619E-9,1.13769E-9,1.13919E-9,1.14071E-9,1.14224E-9,1.14378E-9,1.14533E-9,1.14689E-9,1.14846E-9,1.15005E-9,1.15164E-9,1.15325E-9,1.15487E-9
